ds home task
"November 1, 2020 - January 31, 2021"
Week,Campaign,Campaign ID,Currency,Clicks,Impressions,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Search Impr. share,Search Lost IS (budget),Search Lost IS (rank)
"Week of Oct 26, 2020",Shopping – Smart IL1 #QA V1 תקין,11522694129,USD,0,2,0.00%,0.00,0.00,0.00%,0.00%,0.00,0,0.00,0.00%,100.00%,0.00%,0.00%
"Week of Oct 26, 2020",Shopping – Smart SN1 #QA V1 תקין,11524866875,USD,0,1,0.00%,0.00,0.00,0.00%,0.00%,0.00,0,0.00,0.00%,100.00%,0.00%,0.00%
"Week of Nov 2, 2020",GM - REM1 - NA #QA V2,11268506295,USD,"22,879","928,997",2.46%,0.10,"2,216.02",0.00%,0.00%,4.00,284,554.01,0.02%, --, --, --
"Week of Nov 2, 2020",Shopping – Smart NA1 #QA V4 (הוקפא זמנית),11497072458,USD,166,"35,336",0.47%,3.01,499.01,0.00%,0.00%,2.50,0,199.60,1.51%,96.38%,0.00%,3.62%
"Week of Nov 2, 2020",GLOBAL - Metabolism-Tracking #QA TRIPLE V1 TCPA NOT ACTIVE,11507315409,USD,200,"5,807",3.44%,2.14,427.00,60.60%,72.74%,1.00,0,427.00,0.50%,17.27%,0.00%,82.73%
"Week of Nov 2, 2020",Shopping – Smart HK1 #QA V1 תקין,11522653410,USD,0,20,0.00%,0.00,0.00,0.00%,0.00%,0.00,0,0.00,0.00%,90.91%,0.00%,9.09%
"Week of Nov 2, 2020",Shopping – Smart IL1 #QA V1 תקין,11522694129,USD,1,64,1.56%,1.22,1.22,0.00%,0.00%,0.00,0,0.00,0.00%,95.08%,0.00%,4.92%
"Week of Nov 2, 2020",Global-Metabolism-Tracking #QA Mobile & Tablets,10199514870,USD,240,"1,992",12.05%,0.54,130.06,92.57%,98.09%,1.00,0,130.06,0.42%,44.18%,1.00%,54.82%
"Week of Nov 2, 2020",Australia-Metabolism-Tracking #QA,10677381297,USD,81,"1,036",7.82%,2.26,183.02,76.03%,84.71%,0.00,0,0.00,0.00%,26.81%,0.55%,72.64%
"Week of Nov 2, 2020",Shopping – Smart FR1 #QA V1 תקין,11522694126,USD,0,2,0.00%,0.00,0.00,0.00%,0.00%,0.00,0,0.00,0.00%,100.00%,0.00%,0.00%
"Week of Nov 2, 2020",Shopping – Smart GLOBAL #QA V1 תקין,11551002676,USD,62,"6,098",1.02%,0.56,34.65,0.00%,0.00%,0.00,0,0.00,0.00%,94.84%,0.00%,5.16%
"Week of Nov 2, 2020",Discovery - In-market audience - GLOBAL #QA V3,11551112371,USD,325,"45,202",0.72%,0.98,317.66,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Nov 2, 2020",Discovery - REM - Global #QA V2 TCPA,11565289868,USD,3,404,0.74%,0.69,2.07,0.00%,0.00%,0.00,2,0.00,0.00%, --, --, --
"Week of Nov 2, 2020",GM - REM5 - GLOBAL2 #QA V2 תקין,11565589823,USD,"3,919","154,440",2.54%,0.06,225.36,0.00%,0.00%,0.00,49,0.00,0.00%, --, --, --
"Week of Nov 9, 2020",Global-Keto #QA V1,10544807953,USD,66,"1,055",6.26%,2.24,147.83,44.79%,82.72%,0.00,0,0.00,0.00%,<10%,0.00%,>90%
"Week of Nov 9, 2020",GM - REM1 - NA #QA V2,11268506295,USD,"28,547","1,585,820",1.80%,0.10,"2,948.25",0.00%,0.00%,3.00,32,982.75,0.01%, --, --, --
"Week of Nov 9, 2020",Gmail - REM - Global #QA V4 תקין,11450406184,USD,"8,594","42,156",20.39%,0.11,925.84,0.00%,0.00%,4.00,50,231.46,0.05%, --, --, --
"Week of Nov 9, 2020",GM - GLOBAL -  SMART LIST 1 #QA V1,11509657900,USD,"69,459","6,591,072",1.05%,0.04,"2,766.22",0.00%,0.00%,4.00,12,691.56,0.01%, --, --, --
"Week of Nov 9, 2020",Discovery - IMA - GLOBAL #QA V1 TCPA - לא פעיל,11565379832,USD,824,"81,175",1.02%,0.02,18.76,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Nov 9, 2020",NA2 - Fitness Tracker #QA CPC V4,11588646477,USD,33,666,4.95%,1.00,33.09,22.88%,55.72%,0.00,0,0.00,0.00%,<10%,0.00%,>90%
"Week of Nov 9, 2020",Smart Global 1 #QA V3 לא פעיל,11591976877,USD,171,"8,275",2.07%,0.10,17.04,0.00%,0.00%,3.00,22,5.68,1.75%, --, --, --
"Week of Nov 9, 2020",GM - ML1 - KW1 #QA V1 ניסיון חוזר,11506931205,USD,"8,853","1,452,306",0.61%,0.17,"1,489.35",0.00%,0.00%,11.00,0,135.40,0.12%, --, --, --
"Week of Nov 16, 2020",GM - REM1 - NA #QA V2,11268506295,USD,"11,600","859,615",1.35%,0.15,"1,700.33",0.00%,0.00%,0.00,65,0.00,0.00%, --, --, --
"Week of Nov 16, 2020",GM - ML1 - KW1 #QA V1 ניסיון חוזר,11506931205,USD,"5,572","1,134,140",0.49%,0.21,"1,145.83",0.00%,0.00%,1.00,0,"1,145.83",0.02%, --, --, --
"Week of Nov 16, 2020",GM - GLOBAL -  SMART LIST 1 #QA V1,11509657900,USD,"5,080","515,238",0.99%,0.04,199.40,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Nov 16, 2020",Discovery - CAS2 - GLOBAL #QA V2,11565554567,USD,48,"3,823",1.26%,0.04,1.96,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Nov 16, 2020",Discovery - CAS4 - NA #QA V1,11621847824,USD,0,12,0.00%,0.00,0.00,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Nov 16, 2020",Shopping – Smart US1 #QA V2 תקין מעקב צמוד #2,11667376478,USD,35,"4,879",0.72%,2.53,88.52,0.00%,0.00%,0.00,0,0.00,0.00%,63.93%,0.00%,36.07%
"Week of Nov 16, 2020",Australia-Metabolism-Tracking #QA,10677381297,USD,6,65,9.23%,2.65,15.91,80.36%,87.50%,0.00,0,0.00,0.00%,16.37%,45.91%,37.72%
"Week of Nov 16, 2020",Shopping – Standard - US #QA,11690407909,USD,1,14,7.14%,2.50,2.50,0.00%,0.00%,0.00,0,0.00,0.00%,46.67%,0.00%,53.33%
"Week of Nov 23, 2020",Australia-Metabolism-Tracking #QA,10677381297,USD,100,"1,534",6.52%,2.83,282.74,87.01%,91.92%,0.00,0,0.00,0.00%,31.20%,0.00%,68.80%
"Week of Nov 23, 2020",Global - Vertical 1 #QA V1 Desktop,11182662212,USD,364,"3,099",11.75%,1.54,562.23,80.33%,90.89%,1.00,0,562.23,0.27%,48.81%,0.00%,51.19%
"Week of Nov 23, 2020",Discovery - CAS2 - GLOBAL #QA V2,11565554567,USD,9,153,5.88%,0.02,0.15,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Nov 23, 2020",Discovery - CAS3 - GLOBAL #QA V2,11592367810,USD,"1,083","87,569",1.24%,0.04,40.08,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Nov 23, 2020",GM - GLOBAL -  SMART LIST 2 #QA V2 החלפה,11659616859,USD,24,"1,858",1.29%,0.00,0.00,0.00%,0.00%,0.00,4,0.00,0.00%, --, --, --
"Week of Nov 23, 2020",Shopping – Smart GLOBAL3 #QA V1 RG,11686020126,USD,1,593,0.17%,0.77,0.77,0.00%,0.00%,0.00,0,0.00,0.00%,79.81%,0.00%,20.19%
"Week of Nov 23, 2020",NA3 - Metabolism-Tracking #QA CPA NOT ACTIVE,11466713686,USD,0,1,0.00%,0.00,0.00,0.00%,0.00%,0.00,0,0.00,0.00%,<10%,66.67%,25.00%
"Week of Nov 23, 2020",Global-Metabolic-Flexability #QA V3,11717997024,USD,1,58,1.72%,1.00,1.00,22.50%,45.00%,0.00,0,0.00,0.00%,21.62%,0.00%,78.38%
"Week of Nov 23, 2020",Discovery - REM - Global #QA V1 BF #3,11722581592,USD,0,63,0.00%,0.00,0.00,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Nov 23, 2020",GM - GLOBAL -  SMART LIST 2 #QA V1 BF לשקול להקים מחדש,11605817494,USD,86,"6,301",1.36%,0.05,4.06,0.00%,0.00%,0.00,2,0.00,0.00%, --, --, --
"Week of Nov 30, 2020",GM - REM1 - NA #QA V2,11268506295,USD,"13,469","1,654,844",0.81%,0.21,"2,822.43",0.00%,0.00%,23.00,127,122.71,0.17%, --, --, --
"Week of Nov 30, 2020",Discovery - Black Friday - Global #QA V1 RG,11720502407,USD,1,6,16.67%,0.05,0.05,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Nov 30, 2020",USA - Weight Loss General #QA V1 NOT ACTIVE,11756298176,USD,73,"1,476",4.95%,1.01,73.58,16.28%,83.26%,0.00,0,0.00,0.00%,<10%,0.00%,>90%
